phase,CP,Si,Ti,Al,Cr,Fe,Mn,Mg,Ca,Na,K
Amp,548.5,4133.9056283805,115.81078878,983.6696720875,9.8072916785,183.078477672,19.729754192,1165.5712184755,728.345780344,92.0762684535,37.1364448945
Apt,731,113.58730953829,12.5010127292325,142.131241778744,7.00031707318508,4.00010353209142,12.5010127292325,21.0028603904354,3208.2464656428,14.0012748225388,9.00052414817098
Bt,499,3236.38394599821,89.360477628,1387.263350313,9.193446762,168.182824623473,10.53630743,1513.68182328479,46.382578405,20.349592161,131.722707962
Chl,394.5,2481.20750058247,50.5166381694991,1628.99456972802,7.50036560613496,181.212231501718,13.001100093626,1657.07930843551,92.0557331114679,11.5008574169839,12.5010903951352
Cpx,527,4950.66575281093,37.0088603565677,207.277630096311,9.00052414817098,92.0547996807511,21.0028539172088,1487.17452281956,1071.37610940262,28.0050738604406,7.00031707318508
FeOx,1543,1653.5037966616,27.0047178830655,452.319976118544,11.0007829969074,495.58412006378,16.0016566420994,163.1720985722,208.280320808241,33.0070479755383,9.00052414817098
FeOxR,1244,2026.22169249106,350.79444624591,459.361330814496,18.0020967147938,500.616402018045,31.0062194828492,457.349449906312,309.61905598311,32.0066272545845,10.0006471006948
FeSx,1775,30.4569533725,21.9677684495,16.5638069535,12.7996488485,870.3306266125,17.1207960415,23.9484983575,12.725282884,13.653737,9.487679583
Ilm,1278,27.007821375,2864.1931366125,15.3228802915,11.7835398255,619.937505785,220.6656001145,27.2618746875,15.217142,9.593678442,8.34441362
Kfs,411.5,5744.40500443304,13.0010936214046,1887.26983628915,6.00023295022042,4.00010353209142,8.50046914362791,23.0034299241445,111.581865440447,85.0468340581378,278.006472918255
Opx,534,4855.92873471502,22.0031386839376,202.765697297481,7.50036560613496,210.787106059758,35.5081580511664,1776.69316458418,178.205257010947,20.0025885702856,6.50027501170275
Pl,391,4283.52412595699,11.0007829969074,3210.33021997652,5.00016176993962,3.00005823642459,9.00052414817098,16.0016566420994,997.395652948702,124.099571656317,9.00052414817098
Pl-Ca-rich,444,4025.17552918284,30.0058246600811,2197.8172767207,7.00031707318508,20.0025885702856,9.00052414817098,158.161697076187,1365.96748216433,11.0007829969074,8.00041413908485
Pl-Na-rich,316.5,5271.37355821128,15.5015563328862,2412.06813887308,8.50046914362791,2.00002588268789,9.00052414817098,19.5024753160013,442.76606449748,517.225840313882,6.00023942156235
Qtz,235.5,11031.862518525,11.719075426,14.545086304,6.2728498815,2.8001104685,7.981599433,16.4651039845,7.1718077565,9.2395672095,5.102745466
